title,rating,webpage,phone_number,site_email
Student Burger & Shawarma,4.6,Not Available,0304 4382783,Not Available
Daily Deli Co.,4.3,https://www.facebook.com/TheDailyDeli/,(042) 111 132 459,Not Available
Johnny & Jugnu - Johar Town,4.3,https://www.facebook.com/JohnnyandJugnuJT/?fref=ts,0311 1333363,Not Available
Bahoo Foods,4.3,https://www.facebook.com/BAHOO-FOOD-2189822984395358/?modal=admin_todo_tour,0308 4444785,Not Available
Dagwood,4.4,Not Available,(042) 111 222 224,Not Available
